Ticker,Date,Close,RSI,MACD_diff,SMA20,CCI,ADX,Stochastic,RSI_signal,MACD_signal,BB_signal,CCI_signal,Stochastic_signal,Overall_signal
TOR,2025-10-30,53.4,79.06,0.4057,48.94,265.33,,100.0,Silne sprzedaj,Kupuj,Sprzedaj,Sprzedaj,Sprzedaj,Sprzedaj
TOW,2025-10-30,2.35,49.22,0.0272,2.42,-21.68,,0.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Kupuj,Kupuj
TPE,2025-10-30,9.93,69.6,0.1071,9.28,82.39,,72.68,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
TRI,2025-10-30,2.92,47.12,-0.0517,3.2,-63.94,,21.74,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
TRK,2025-10-30,2.76,53.92,-0.0013,2.67,80.68,,100.0,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
TRN,2025-10-30,3.93,73.33,0.0206,3.85,53.72,,75.0,Silne sprzedaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
TRR,2025-10-30,0.69,50.0,0.0001,0.69,-26.0,,50.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
TSG,2025-10-30,2.61,40.0,-0.004,2.64,-15.36,,50.0,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
TXT,2025-10-30,48.8,36.08,-0.2258,50.84,-141.4,,0.0,Kupuj,Sprzedaj,Kupuj,Kupuj,Kupuj,Silne Kupuj
UCG,2025-10-30,270.25,49.91,0.5831,267.18,34.21,,100.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
ULG,2025-10-30,14.1,51.52,-0.0355,13.87,10.27,,0.0,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
