Nazwa,Ticker,Kwartał [-],Data publikacji,Kurs [zł],Liczba akcji [-],Przychody ze sprzedaży [tys. zł],Zysk netto [tys. zł],Zysk operacyjny (EBIT) [tys. zł],Wartość księgowa na akcję [zł],Cena/WK [-],Zysk na akcję [zł],Cena/Zysk [-],Przychody ze sprzedaży na akcję [zł],Cena/Przychód [-],Wartość księgowa Grahama na akcję [zł],Cena/Wartość księgowa Grahama [-],ROE [%],ROA [%],Marża zysku netto [%],Nazwa+ticker
11BIT,11B,2018/Q1,2018-03-10,,2287199,2245.0,-979.0,-797.0,19.78,10.57,1.59,131.61,8.1,25.8,11.77,17.76,8.03,7.75,19.61,11BIT (11B)
11BIT,11B,2018/Q2,2018-08-30,426.0,2287199,43480.0,25895.0,30980.0,32.07,14.16,12.27,37.0,24.57,18.47,22.84,19.87,38.26,34.1,49.93,11BIT (11B)
11BIT,11B,2018/Q3,2018-11-14,295.0,2287199,13895.0,3602.0,5041.0,34.47,9.86,14.21,23.93,29.45,11.54,24.06,14.13,41.22,37.49,48.23,11BIT (11B)
11BIT,11B,2018/Q4,2019-03-27,313.0,2287199,22494.0,9032.0,11725.0,39.31,6.21,16.42,14.86,35.9,6.8,21.25,11.48,41.76,34.37,45.73,11BIT (11B)
11BIT,11B,2019/Q1,2019-05-16,392.0,2287199,14184.0,4438.0,5745.0,42.15,9.42,18.79,21.13,41.12,9.65,23.29,17.04,44.57,37.21,45.68,11BIT (11B)
11BIT,11B,2019/Q2,2019-08-27,392.0,2287199,16555.0,1975.0,2935.0,43.9,9.04,8.33,47.67,29.35,13.53,26.78,14.82,18.97,15.04,28.37,11BIT (11B)
11BIT,11B,2019/Q3,2019-11-14,354.0,2287199,18691.0,3608.0,4580.0,46.38,8.51,8.33,47.36,31.45,12.55,27.78,14.2,17.96,13.73,26.49,11BIT (11B)
11BIT,11B,2019/Q4,2020-03-25,363.0,2287199,21791.0,11689.0,10611.0,52.35,7.64,9.49,42.14,31.14,12.85,30.57,13.08,18.13,13.95,30.48,11BIT (11B)
11BIT,11B,2020/Q1,2020-05-14,431.0,2287199,30524.0,14508.0,17242.0,59.58,6.04,13.89,25.91,38.28,9.4,33.58,10.72,23.32,18.56,36.29,11BIT (11B)
11BIT,11B,2020/Q2,2020-08-27,499.0,2287199,19645.0,10502.0,9134.0,63.29,7.66,17.62,27.52,39.63,12.24,36.31,13.36,27.85,22.85,44.46,11BIT (11B)
