Nazwa,Rok,Przychody ze sprzedaży [tys. zł],Zysk netto [tys. zł],Koszty sprzedaży [tys. zł],EBITDA [tys. zł],Wartość firmy [tys. zł],Kredyty i pożyczki [tys. zł],Aktywa razem [tys. zł],Pasywa razem [tys. zł],Dywidenda [tys. zł]
MBR,2019,130566.0,40088.0,1960.0,56255.0,832.0,8621.0,189791.0,189791.0,9683.0
MBR,2020,178456.0,78725.0,183.0,104745.0,832.0,4322.0,209069.0,209069.0,48337.0
MBR,2021,267214.0,114987.0,2132.0,151300.0,832.0,46.0,259564.0,259564.0,70785.0
MBR,2022,243388.0,92154.0,2461.0,117317.0,832.0,16.0,271395.0,271395.0,110656.0
MBR,2023,237013.0,78861.0,4310.0,109088.0,40037.0,3514.0,338438.0,338438.0,46265.0
MBR,2024,283910.0,70322.0,11935.0,116719.0,20287.0,13761.0,472384.0,472384.0,46265.0
MBR,2025,290804.0,66498.0,11257.0,120588.0,20287.0,9711.0,490636.0,490636.0,46265.0
MCI,2004,97506.0,528.0,2672.0,4875.0,0.0,492.0,45750.0,45750.0,0.0
MCI,2005,82075.0,5822.0,1473.0,9207.0,0.0,306.0,56728.0,56728.0,0.0
MCI,2006,91697.0,29365.0,2509.0,35946.0,0.0,806.0,118714.0,118714.0,0.0
MCI,2007,11836.0,79973.0,470.0,75206.0,0.0,10508.0,236488.0,236488.0,0.0
MCI,2008,1101.0,21171.0,6.0,32365.0,0.0,312.0,300013.0,300013.0,0.0
MCI,2009,8794.0,44358.0,23.0,50232.0,0.0,4103.0,333679.0,333679.0,0.0
MCI,2010,11506.0,156083.0,0.0,163957.0,0.0,2551.0,634960.0,634960.0,0.0
MCI,2011,34095.0,18690.0,0.0,14684.0,0.0,26.0,640629.0,640629.0,0.0
MCI,2012,31737.0,41572.0,0.0,44808.0,80174.0,450.0,779603.0,779603.0,0.0
MCI,2013,78179.0,186184.0,0.0,189121.0,80174.0,41.0,946517.0,946517.0,0.0
MCI,2014,25377.0,264794.0,0.0,269830.0,0.0,41.0,1223455.0,1223455.0,0.0
MCI,2015,133116.0,121463.0,0.0,129618.0,0.0,41.0,1397711.0,1397711.0,0.0
MCI,2016,-74948.0,-82243.0,0.0,-79799.0,0.0,41.0,1340871.0,1340871.0,0.0
MCI,2017,123517.0,104686.0,0.0,119157.0,0.0,0.0,1361499.0,1361499.0,0.0
MCI,2018,219178.0,174531.0,0.0,184060.0,0.0,0.0,1445341.0,1445341.0,0.0
MCI,2019,131095.0,113388.0,0.0,123863.0,0.0,0.0,1442799.0,1442799.0,0.0
MCI,2020,167251.0,126683.0,0.0,164824.0,0.0,0.0,1695352.0,1695352.0,0.0
MCI,2021,405398.0,465790.0,0.0,359508.0,0.0,29736.0,2064233.0,2064233.0,27774.0
MCI,2022,174906.0,143261.0,0.0,137244.0,0.0,0.0,2225177.0,2225177.0,36723.0
MCI,2023,231645.0,164900.0,0.0,195533.0,0.0,0.0,2368172.0,2368172.0,0.0
MCI,2024,46446.0,15512.0,0.0,30320.0,0.0,0.0,2401175.0,2401175.0,0.0
MCI,2025,71771.0,18975.0,0.0,45827.0,0.0,0.0,2473656.0,2473656.0,0.0
MDG,2008,459.0,-2085.0,0.0,-1734.0,,,1647.0,1647.0,
MDG,2009,290.0,-928.0,0.0,-913.0,,236.0,1374.0,1374.0,0.0
MDG,2010,4107.0,1748.0,0.0,2017.0,,8.0,2911.0,2911.0,0.0
MDG,2011,5805.0,3006.0,0.0,3388.0,0.0,1.0,13450.0,13450.0,0.0
MDG,2012,10962.0,7413.0,0.0,7506.0,0.0,1.0,75550.0,75550.0,0.0
MDG,2013,15697.0,10874.0,0.0,10484.0,0.0,31.0,83507.0,83507.0,3764.0
MDG,2014,29714.0,14526.0,0.0,14496.0,0.0,3.0,94892.0,94892.0,4665.0
MDG,2015,49331.0,13925.0,0.0,22737.0,0.0,31.0,102267.0,102267.0,5529.0
MDG,2016,127921.0,42004.0,0.0,51124.0,92890.0,69.0,369891.0,369891.0,6392.0
MDG,2017,203354.0,33653.0,0.0,54290.0,77482.0,873.0,289281.0,289281.0,11565.0
MDG,2018,199404.0,18948.0,0.0,36303.0,84393.0,111.0,316082.0,316082.0,5121.0
MDG,2019,173870.0,-299.0,0.0,18632.0,85232.0,3057.0,283262.0,283262.0,0.0
MDG,2020,111734.0,-27676.0,0.0,-21612.0,84365.0,2928.0,283404.0,283404.0,0.0
MDG,2021,120563.0,-180638.0,0.0,-149178.0,0.0,1519.0,114410.0,114410.0,0.0
MDG,2022,62719.0,-30404.0,0.0,21232.0,0.0,9.0,108736.0,108736.0,0.0
MDG,2023,43098.0,-578.0,0.0,2799.0,0.0,0.0,121631.0,121631.0,0.0
MDG,2024,24002.0,-16079.0,0.0,-12903.0,0.0,1480.0,105814.0,105814.0,0.0
MDG,2025,24816.0,-13447.0,0.0,-8995.0,0.0,0.0,104909.0,104909.0,0.0
MDI,2004,33709.0,157223.0,0.0,158399.0,,,252781.0,252781.0,0.0
MDI,2005,15813.0,21083.0,0.0,21163.0,,,77541.0,77541.0,0.0
MDI,2006,3854.0,4855.0,0.0,4931.0,0.0,,14883.0,14883.0,0.0
MDI,2007,16.0,-699.0,0.0,518.0,6303.0,163.0,35180.0,35180.0,0.0
MDI,2008,11.0,-5408.0,0.0,-5195.0,6303.0,177.0,114564.0,114564.0,0.0
